name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Igor Kunitsyn,igor kunitsyn,RUS,R,180.0,2002-08-26,2012-06-25
Benjamin Becker,benjamin becker,GER,R,178.0,2006-06-26,2016-08-29
Roko Karanusic,roko karanusic,CRO,R,183.0,2003-08-25,2009-06-22
Melle Van Gemerden,melle van gemerden,NED,R,183.0,2005-01-17,2006-06-26
Robert Kendrick,robert kendrick,USA,R,190.0,2003-06-23,2011-05-22
Sam Querrey,sam querrey,USA,R,198.0,2006-08-28,2022-08-29
Teymuraz Gabashvili,teymuraz gabashvili,RUS,R,188.0,2006-08-28,2017-05-29
Ryan Sweeting,ryan sweeting,USA,R,196.0,2006-08-28,2012-06-25
Jan Hajek,jan hajek,CZE,R,180.0,2006-08-28,2014-01-13
Lukasz Kubot,lukasz kubot,POL,R,190.0,2006-08-28,2014-06-23
Thiago Alves,thiago alves,BRA,R,178.0,2006-08-28,2010-05-24
Marco Chiudinelli,marco chiudinelli,SUI,R,185.0,2006-08-28,2016-08-29
Zack Fleishman,zack fleishman,USA,R,188.0,2006-01-16,2007-06-25
Dudi Sela,dudi sela,ISR,R,175.0,2005-05-23,2018-07-02
Robert Smeets,robert smeets,AUS,L,188.0,2007-01-15,2008-08-25
Alex Kuznetsov,alex kuznetsov,USA,R,183.0,2006-08-28,2014-06-23
Mischa Zverev,mischa zverev,GER,L,190.0,2007-01-15,2019-07-01
Frank Dancevic,frank dancevic,CAN,R,185.0,2006-06-26,2014-08-25
Juan Martin del Potro,juan martin del potro,ARG,R,198.0,2006-05-29,2019-05-27
Carlos Berlocq,carlos berlocq,ARG,R,183.0,2006-01-16,2018-08-27
Konstantinos Economidis,konstantinos economidis,GRE,R,188.0,2002-06-24,2008-01-14
Ivan Navarro,ivan navarro,ESP,R,183.0,2004-06-21,2009-08-31
Simone Bolelli,simone bolelli,ITA,R,183.0,2007-05-28,2019-05-27
Edouard Roger Vasselin,edouard roger vasselin,FRA,R,188.0,2007-05-28,2010-05-24
Laurent Recouderc,laurent recouderc,FRA,R,178.0,2007-05-28,2010-05-24
Diego Hartfield,diego hartfield,ARG,R,185.0,2006-05-29,2008-01-14
Juan Pablo Brzezicki,juan pablo brzezicki,ARG,R,178.0,2005-05-23,2009-08-31
Ernests Gulbis,ernests gulbis,LAT,R,190.0,2007-05-28,2020-01-20
Flavio Cipolla,flavio cipolla,ITA,R,173.0,2007-05-28,2013-01-14
Aisam Ul Haq Qureshi,aisam ul haq qureshi,PAK,R,183.0,2007-06-25,2008-08-25
Michael Berrer,michael berrer,GER,L,193.0,2006-06-26,2015-08-31
Jo-Wilfried Tsonga,jo-wilfried tsonga,FRA,R,188.0,2005-05-23,2022-05-23
