player_id,name,name_norm,ioc,first_seen_date,last_seen_date,match_count
7508473,Filip Misolic,filip misolic,AUT,2024-05-27,2025-06-30,4
34097455,Filippo Volandri,filippo volandri,ITA,2003-05-26,2014-06-23,44
39970348,Flavio Cipolla,flavio cipolla,ITA,2007-05-28,2013-01-14,19
74753368,Flavio Cobolli,flavio cobolli,ITA,2023-05-29,2025-07-09,11
78952883,Flavio Saretta,flavio saretta,BRA,2002-01-14,2006-08-28,29
19828554,Florent Serra,florent serra,FRA,2004-05-24,2013-08-26,54
83686312,Florian Mayer,florian mayer,GER,2004-01-19,2018-08-27,85
17004857,Fonseca J.,fonseca j,BRA,2025-01-14,2025-07-04,8
55103597,Frances Tiafoe,frances tiafoe,USA,2015-05-24,2025-07-02,82
4934250,Francisco Cerundolo,francisco cerundolo,ARG,2021-05-31,2025-06-30,24
71979332,Francisco Clavet,francisco clavet,ESP,2000-01-17,2003-01-13,20
5219819,Francisco Comesana,francisco comesana,ARG,2024-01-07,2025-07-01,6
55400919,Franco Agamenone,franco agamenone,ITA,2022-05-23,2022-05-23,1
68279870,Franco Ferreiro,franco ferreiro,BRA,2009-05-25,2009-05-25,1
68344238,Franco Squillari,franco squillari,ARG,2000-01-17,2003-08-25,27
10927973,Frank Dancevic,frank dancevic,CAN,2006-06-26,2014-08-25,24
98174267,Franko Skugor,franko skugor,CRO,2016-06-27,2016-06-27,1
13492888,Frederic Niemeyer,frederic niemeyer,CAN,2003-06-23,2003-06-23,2
56243922,Frederico Ferreira Silva,frederico ferreira silva,POR,2021-08-02,2021-08-02,1
76715513,Frederico Gil,frederico gil,POR,2008-05-25,2012-01-16,17
27755159,Frederik Nielsen,frederik nielsen,DEN,2012-01-16,2012-01-16,1
86115486,Fredrik Jonsson,fredrik jonsson,SWE,2000-01-17,2001-06-25,4
65408352,Gabriel Diallo,gabriel diallo,CAN,2024-05-27,2025-07-02,6
44954827,Gael Monfils,gael monfils,FRA,2005-01-17,2025-07-04,189
81050551,Galan D.E.,galan de,COL,2025-05-25,2025-05-28,2
22003488,Galo Blanco,galo blanco,ESP,2000-01-17,2004-06-21,24
58982074,Gastao Elias,gastao elias,POR,2013-06-24,2018-02-07,8
68415983,Gaston Etlis,gaston etlis,ARG,2002-08-26,2002-08-26,2
76485336,Gaston Gaudio,gaston gaudio,ARG,2000-01-17,2009-05-25,63
61580393,Genaro Alberto Olivieri,genaro alberto olivieri,ARG,2023-05-29,2023-05-29,3
8684710,Geoffrey Blancaneaux,geoffrey blancaneaux,FRA,2017-08-28,2022-05-23,2
68445073,George Bastl,george bastl,SUI,2000-01-17,2006-08-28,13
89267594,George Loffhagen,george loffhagen,GBR,2023-03-07,2025-07-01,1
50263881,Gerald Melzer,gerald melzer,AUT,2016-05-23,2018-01-15,3
47972717,Germain Gigounon,germain gigounon,BEL,2015-05-24,2015-05-24,1
88049074,German Puentes,german puentes,ESP,2001-01-15,2001-08-27,4
70953166,Gianluca Mager,gianluca mager,ITA,2020-08-31,2022-01-17,9
87536495,Gianluca Pozzi,gianluca pozzi,ITA,2000-01-17,2001-08-27,14
4931224,Gianni Mina,gianni mina,FRA,2010-05-24,2010-05-24,1
77310196,Gigante M.,gigante m,ITA,2025-01-12,2025-05-30,4
18228957,Gijs Brouwer,gijs brouwer,NED,2022-08-29,2023-03-07,3
95338461,Gilles Elseneer,gilles elseneer,BEL,2003-06-23,2005-08-29,10
43848423,Gilles Muller,gilles muller,LUX,2004-01-19,2018-08-27,78
9703797,Gilles Simon,gilles simon,FRA,2005-05-23,2022-05-23,152
5819648,Giorgio Galimberti,giorgio galimberti,ITA,2002-05-27,2005-08-29,6
30451190,Giovanni Lapentti,giovanni lapentti,ECU,2003-05-26,2009-08-31,2
51899349,Giovanni Mpetshi Perricard,giovanni mpetshi perricard,FRA,2023-05-29,2024-08-26,7
75455260,Giulio Zeppieri,giulio zeppieri,ITA,2022-05-23,2025-07-01,7
84173088,Gleb Sakharov,gleb sakharov,FRA,2019-01-14,2019-01-14,1
85365525,Glenn Weiner,glenn weiner,USA,2004-01-19,2005-08-29,4
